y4_hhid,region,district,ward,village,region_name,district_name,ward_name,village_name,ea,clusterid,occ,plotnum,plot_area,wardtype,clustertype,lat_modified,lon_modified
5448-001,DAR ES SALAAM,2,102,4,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,MNYAMANI,1,70210204001,1,,,urban,urban,-6.834193572,39.24428521
1478-001,DAR ES SALAAM,2,142,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KISUTU,14,70214202014,1,,,urban,urban,-6.809117751,39.28974743
1481-001,DAR ES SALAAM,2,142,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KISUTU,14,70214202014,1,,,urban,urban,-6.809117751,39.28974743
1477-001,DAR ES SALAAM,2,142,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KISUTU,14,70214202014,1,,,urban,urban,-6.809117751,39.28974743
1483-001,DAR ES SALAAM,2,142,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KISUTU,14,70214202014,1,,,urban,urban,-6.809117751,39.28974743
1476-001,DAR ES SALAAM,2,142,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KISUTU,14,70214202014,1,,,urban,urban,-6.809117751,39.28974743
1480-001,DAR ES SALAAM,2,142,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KISUTU,14,70214202014,1,,,urban,urban,-6.809117751,39.28974743
1486-001,DAR ES SALAAM,2,142,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KISUTU,14,70214202014,1,,,urban,urban,-6.809117751,39.28974743
1479-001,DAR ES SALAAM,2,142,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KISUTU,14,70214202014,1,,,urban,urban,-6.809117751,39.28974743
5475-001,DAR ES SALAAM,2,192,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,MINAZI MIREFU,45,70219202045,1,,,urban,urban,-6.853675077,39.23399511
5474-001,DAR ES SALAAM,2,192,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,MINAZI MIREFU,45,70219202045,1,,,urban,urban,-6.853675077,39.23399511
5473-001,DAR ES SALAAM,2,192,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,MINAZI MIREFU,45,70219202045,1,M1,3,urban,urban,-6.853675077,39.23399511
5469-001,DAR ES SALAAM,2,192,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,MINAZI MIREFU,45,70219202045,1,,,urban,urban,-6.853675077,39.23399511
5471-001,DAR ES SALAAM,2,192,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,MINAZI MIREFU,45,70219202045,1,,,urban,urban,-6.853675077,39.23399511
5476-001,DAR ES SALAAM,2,192,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,MINAZI MIREFU,45,70219202045,1,,,urban,urban,-6.853675077,39.23399511
5467-001,DAR ES SALAAM,2,192,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,MINAZI MIREFU,45,70219202045,1,,,urban,urban,-6.853675077,39.23399511
5468-001,DAR ES SALAAM,2,192,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,MINAZI MIREFU,45,70219202045,1,M1,1,urban,urban,-6.853675077,39.23399511
1498-001,DAR ES SALAAM,2,192,4,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KIGILAGILA,37,70219204037,1,,,urban,urban,-6.866652,39.22766472
1497-001,DAR ES SALAAM,2,192,4,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KIGILAGILA,37,70219204037,1,,,urban,urban,-6.866652,39.22766472
1496-001,DAR ES SALAAM,2,192,4,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KIGILAGILA,37,70219204037,1,,,urban,urban,-6.866652,39.22766472
1500-001,DAR ES SALAAM,2,192,4,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KIGILAGILA,37,70219204037,1,,,urban,urban,-6.866652,39.22766472
1499-001,DAR ES SALAAM,2,192,4,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KIGILAGILA,37,70219204037,1,,,urban,urban,-6.866652,39.22766472
1501-001,DAR ES SALAAM,2,192,4,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KIGILAGILA,37,70219204037,1,,,urban,urban,-6.866652,39.22766472
1495-001,DAR ES SALAAM,2,192,4,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KIGILAGILA,37,70219204037,1,,,urban,urban,-6.866652,39.22766472
1494-001,DAR ES SALAAM,2,192,4,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KIGILAGILA,37,70219204037,1,,,urban,urban,-6.866652,39.22766472
5486-001,DAR ES SALAAM,2,202,5,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,SEGEREA,8,70220205008,1,,,urban,urban,-6.82915316,39.21950085
5491-001,DAR ES SALAAM,2,202,5,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,SEGEREA,8,70220205008,1,,,urban,urban,-6.82915316,39.21950085
5485-001,DAR ES SALAAM,2,202,5,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,SEGEREA,8,70220205008,1,,,urban,urban,-6.82915316,39.21950085
5487-001,DAR ES SALAAM,2,202,5,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,SEGEREA,8,70220205008,1,,,urban,urban,-6.82915316,39.21950085
5488-001,DAR ES SALAAM,2,202,5,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,SEGEREA,8,70220205008,1,,,urban,urban,-6.82915316,39.21950085
5490-001,DAR ES SALAAM,2,202,5,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,SEGEREA,8,70220205008,2,M2,5,urban,urban,-6.82915316,39.21950085
5484-001,DAR ES SALAAM,2,202,5,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,SEGEREA,8,70220205008,1,,,urban,urban,-6.82915316,39.21950085
5490-001,DAR ES SALAAM,2,202,5,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,SEGEREA,8,70220205008,1,M1,10,urban,urban,-6.82915316,39.21950085
5489-001,DAR ES SALAAM,2,202,5,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,SEGEREA,8,70220205008,1,,,urban,urban,-6.82915316,39.21950085
1513-001,DAR ES SALAAM,2,212,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,MZINGA,48,70221202048,1,,,urban,urban,-6.902859379,39.21387548
1514-001,DAR ES SALAAM,2,212,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,MZINGA,48,70221202048,1,,,urban,urban,-6.902859379,39.21387548
1519-001,DAR ES SALAAM,2,212,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,MZINGA,48,70221202048,1,,,urban,urban,-6.902859379,39.21387548
1517-001,DAR ES SALAAM,2,212,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,MZINGA,48,70221202048,1,,,urban,urban,-6.902859379,39.21387548
1520-001,DAR ES SALAAM,2,212,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,MZINGA,48,70221202048,1,,,urban,urban,-6.902859379,39.21387548
1518-001,DAR ES SALAAM,2,212,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,MZINGA,48,70221202048,1,,,urban,urban,-6.902859379,39.21387548
1515-001,DAR ES SALAAM,2,212,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,MZINGA,48,70221202048,1,,,urban,urban,-6.902859379,39.21387548
1516-001,DAR ES SALAAM,2,212,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,MZINGA,48,70221202048,1,M1,6,urban,urban,-6.902859379,39.21387548
5510-001,DAR ES SALAAM,2,232,1,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KIPUNGUNI 'B',31,70223201031,1,,,urban,urban,-6.891413493,39.18065103
5513-001,DAR ES SALAAM,2,232,1,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KIPUNGUNI 'B',31,70223201031,1,,,urban,urban,-6.891413493,39.18065103
5509-001,DAR ES SALAAM,2,232,1,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KIPUNGUNI 'B',31,70223201031,1,,,urban,urban,-6.891413493,39.18065103
5507-001,DAR ES SALAAM,2,232,1,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KIPUNGUNI 'B',31,70223201031,1,,,urban,urban,-6.891413493,39.18065103
5514-001,DAR ES SALAAM,2,232,1,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KIPUNGUNI 'B',31,70223201031,1,,,urban,urban,-6.891413493,39.18065103
5503-001,DAR ES SALAAM,2,232,1,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KIPUNGUNI 'B',31,70223201031,1,,,urban,urban,-6.891413493,39.18065103
5511-001,DAR ES SALAAM,2,232,1,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KIPUNGUNI 'B',31,70223201031,1,,,urban,urban,-6.891413493,39.18065103
5505-001,DAR ES SALAAM,2,232,1,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KIPUNGUNI 'B',31,70223201031,1,,,urban,urban,-6.891413493,39.18065103
1541-001,DAR ES SALAAM,2,242,1,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,ULONGONI,25,70224201025,1,M1,0.059999999,urban,urban,-6.862454587,39.15892699
1532-001,DAR ES SALAAM,2,242,1,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,ULONGONI,25,70224201025,1,,,urban,urban,-6.862454587,39.15892699
1538-001,DAR ES SALAAM,2,242,1,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,ULONGONI,25,70224201025,1,,,urban,urban,-6.862454587,39.15892699
1537-001,DAR ES SALAAM,2,242,1,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,ULONGONI,25,70224201025,1,,,urban,urban,-6.862454587,39.15892699
1534-001,DAR ES SALAAM,2,242,1,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,ULONGONI,25,70224201025,1,M1,0.100000001,urban,urban,-6.862454587,39.15892699
1533-001,DAR ES SALAAM,2,242,1,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,ULONGONI,25,70224201025,1,,,urban,urban,-6.862454587,39.15892699
1536-001,DAR ES SALAAM,2,242,1,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,ULONGONI,25,70224201025,1,,,urban,urban,-6.862454587,39.15892699
1539-001,DAR ES SALAAM,2,242,1,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,ULONGONI,25,70224201025,1,,,urban,urban,-6.862454587,39.15892699
5528-001,DAR ES SALAAM,2,252,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KICHANGANI,12,70225202012,1,,,urban,urban,-6.912678458,39.15028947
5527-001,DAR ES SALAAM,2,252,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KICHANGANI,12,70225202012,1,,,urban,urban,-6.912678458,39.15028947
5522-001,DAR ES SALAAM,2,252,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KICHANGANI,12,70225202012,1,,,urban,urban,-6.912678458,39.15028947
5529-001,DAR ES SALAAM,2,252,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KICHANGANI,12,70225202012,1,M1,0.300000012,urban,urban,-6.912678458,39.15028947
5529-001,DAR ES SALAAM,2,252,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KICHANGANI,12,70225202012,2,M2,0.579999983,urban,urban,-6.912678458,39.15028947
5524-001,DAR ES SALAAM,2,252,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KICHANGANI,12,70225202012,1,,,urban,urban,-6.912678458,39.15028947
5526-001,DAR ES SALAAM,2,252,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KICHANGANI,12,70225202012,1,,,urban,urban,-6.912678458,39.15028947
5525-001,DAR ES SALAAM,2,252,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KICHANGANI,12,70225202012,1,,,urban,urban,-6.912678458,39.15028947
5523-001,DAR ES SALAAM,2,252,2,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,KICHANGANI,12,70225202012,1,,,urban,urban,-6.912678458,39.15028947
1552-001,DAR ES SALAAM,2,252,6,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,NYEBURU,22,70225206022,1,M1,0.01,urban,urban,-6.954392875,39.08373475
1553-001,DAR ES SALAAM,2,252,6,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,NYEBURU,22,70225206022,1,M1,0,urban,urban,-6.954392875,39.08373475
1559-001,DAR ES SALAAM,2,252,6,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,NYEBURU,22,70225206022,1,M1,1,urban,urban,-6.954392875,39.08373475
1551-001,DAR ES SALAAM,2,252,6,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,NYEBURU,22,70225206022,1,M1,0.090000004,urban,urban,-6.954392875,39.08373475
1556-001,DAR ES SALAAM,2,252,6,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,NYEBURU,22,70225206022,1,M1,0.01,urban,urban,-6.954392875,39.08373475
1555-001,DAR ES SALAAM,2,252,6,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,NYEBURU,22,70225206022,1,,,urban,urban,-6.954392875,39.08373475
1557-001,DAR ES SALAAM,2,252,6,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,NYEBURU,22,70225206022,1,M1,0.800000012,urban,urban,-6.954392875,39.08373475
1554-001,DAR ES SALAAM,2,252,6,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,NYEBURU,22,70225206022,1,,,urban,urban,-6.954392875,39.08373475
5544-001,DAR ES SALAAM,2,262,4,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,DARAJANI,11,70226204011,1,,,urban,urban,-6.824114893,39.21674275
5548-001,DAR ES SALAAM,2,262,4,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,DARAJANI,11,70226204011,1,,,urban,urban,-6.824114893,39.21674275
5545-001,DAR ES SALAAM,2,262,4,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,DARAJANI,11,70226204011,1,,,urban,urban,-6.824114893,39.21674275
5550-001,DAR ES SALAAM,2,262,4,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,DARAJANI,11,70226204011,1,,,urban,urban,-6.824114893,39.21674275
5543-001,DAR ES SALAAM,2,262,4,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,DARAJANI,11,70226204011,1,M1,1,urban,urban,-6.824114893,39.21674275
5541-001,DAR ES SALAAM,2,262,4,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,DARAJANI,11,70226204011,1,M1,8,urban,urban,-6.824114893,39.21674275
5547-001,DAR ES SALAAM,2,262,4,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,DARAJANI,11,70226204011,1,M1,0.300000012,urban,urban,-6.824114893,39.21674275
5546-001,DAR ES SALAAM,2,262,4,DAR ES SALAAM,ILALA,**CONFIDENTIAL**,DARAJANI,11,70226204011,1,,,urban,urban,-6.824114893,39.21674275
1571-001,DAR ES SALAAM,3,22,2,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KISIWANI,23,70302202023,1,M1,0.01,urban,urban,-6.851699605,39.31079136
1575-001,DAR ES SALAAM,3,22,2,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KISIWANI,23,70302202023,1,,,urban,urban,-6.851699605,39.31079136
1578-001,DAR ES SALAAM,3,22,2,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KISIWANI,23,70302202023,1,,,urban,urban,-6.851699605,39.31079136
1572-001,DAR ES SALAAM,3,22,2,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KISIWANI,23,70302202023,2,M2,5,urban,urban,-6.851699605,39.31079136
1570-001,DAR ES SALAAM,3,22,2,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KISIWANI,23,70302202023,1,,,urban,urban,-6.851699605,39.31079136
1576-001,DAR ES SALAAM,3,22,2,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KISIWANI,23,70302202023,1,M1,0.090000004,urban,urban,-6.851699605,39.31079136
1572-001,DAR ES SALAAM,3,22,2,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KISIWANI,23,70302202023,1,M1,0,urban,urban,-6.851699605,39.31079136
1573-001,DAR ES SALAAM,3,22,2,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KISIWANI,23,70302202023,1,M1,0.029999999,urban,urban,-6.851699605,39.31079136
1574-001,DAR ES SALAAM,3,22,2,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KISIWANI,23,70302202023,1,,,urban,urban,-6.851699605,39.31079136
5566-001,DAR ES SALAAM,3,72,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,BUGHUDADI,33,70307201033,1,,,urban,urban,-6.883819511,39.27233837
5570-001,DAR ES SALAAM,3,72,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,BUGHUDADI,33,70307201033,1,,,urban,urban,-6.883819511,39.27233837
5564-001,DAR ES SALAAM,3,72,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,BUGHUDADI,33,70307201033,1,,,urban,urban,-6.883819511,39.27233837
5562-001,DAR ES SALAAM,3,72,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,BUGHUDADI,33,70307201033,1,,,urban,urban,-6.883819511,39.27233837
5567-001,DAR ES SALAAM,3,72,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,BUGHUDADI,33,70307201033,1,,,urban,urban,-6.883819511,39.27233837
5565-001,DAR ES SALAAM,3,72,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,BUGHUDADI,33,70307201033,1,,,urban,urban,-6.883819511,39.27233837
5560-001,DAR ES SALAAM,3,72,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,BUGHUDADI,33,70307201033,1,,,urban,urban,-6.883819511,39.27233837
5563-001,DAR ES SALAAM,3,72,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,BUGHUDADI,33,70307201033,1,,,urban,urban,-6.883819511,39.27233837
1594-001,DAR ES SALAAM,3,82,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,MSUFINI,42,70308201042,1,,,urban,urban,-6.930558976,39.23771066
1596-001,DAR ES SALAAM,3,82,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,MSUFINI,42,70308201042,2,M2,20,urban,urban,-6.930558976,39.23771066
1593-001,DAR ES SALAAM,3,82,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,MSUFINI,42,70308201042,1,,,urban,urban,-6.930558976,39.23771066
1592-001,DAR ES SALAAM,3,82,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,MSUFINI,42,70308201042,1,,,urban,urban,-6.930558976,39.23771066
1591-001,DAR ES SALAAM,3,82,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,MSUFINI,42,70308201042,1,,,urban,urban,-6.930558976,39.23771066
1596-001,DAR ES SALAAM,3,82,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,MSUFINI,42,70308201042,1,M1,0.529999971,urban,urban,-6.930558976,39.23771066
1595-001,DAR ES SALAAM,3,82,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,MSUFINI,42,70308201042,1,,,urban,urban,-6.930558976,39.23771066
1589-001,DAR ES SALAAM,3,82,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,MSUFINI,42,70308201042,1,,,urban,urban,-6.930558976,39.23771066
1590-001,DAR ES SALAAM,3,82,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,MSUFINI,42,70308201042,1,,,urban,urban,-6.930558976,39.23771066
5579-001,DAR ES SALAAM,3,92,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,YOMBO VITUKA,67,70309201067,1,,,urban,urban,-6.881537758,39.21251021
5584-001,DAR ES SALAAM,3,92,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,YOMBO VITUKA,67,70309201067,1,,,urban,urban,-6.881537758,39.21251021
5588-001,DAR ES SALAAM,3,92,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,YOMBO VITUKA,67,70309201067,1,,,urban,urban,-6.881537758,39.21251021
5582-001,DAR ES SALAAM,3,92,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,YOMBO VITUKA,67,70309201067,1,,,urban,urban,-6.881537758,39.21251021
5586-001,DAR ES SALAAM,3,92,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,YOMBO VITUKA,67,70309201067,1,,,urban,urban,-6.881537758,39.21251021
5585-001,DAR ES SALAAM,3,92,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,YOMBO VITUKA,67,70309201067,1,,,urban,urban,-6.881537758,39.21251021
5581-001,DAR ES SALAAM,3,92,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,YOMBO VITUKA,67,70309201067,1,,,urban,urban,-6.881537758,39.21251021
5580-001,DAR ES SALAAM,3,92,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,YOMBO VITUKA,67,70309201067,1,,,urban,urban,-6.881537758,39.21251021
1609-001,DAR ES SALAAM,3,102,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KILUNGULE,7,70310201007,1,,,urban,urban,-6.911376698,39.25119
1610-001,DAR ES SALAAM,3,102,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KILUNGULE,7,70310201007,1,,,urban,urban,-6.911376698,39.25119
1611-001,DAR ES SALAAM,3,102,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KILUNGULE,7,70310201007,1,,,urban,urban,-6.911376698,39.25119
1615-001,DAR ES SALAAM,3,102,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KILUNGULE,7,70310201007,1,,,urban,urban,-6.911376698,39.25119
1614-001,DAR ES SALAAM,3,102,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KILUNGULE,7,70310201007,1,,,urban,urban,-6.911376698,39.25119
1613-001,DAR ES SALAAM,3,102,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KILUNGULE,7,70310201007,1,,,urban,urban,-6.911376698,39.25119
1608-001,DAR ES SALAAM,3,102,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KILUNGULE,7,70310201007,1,,,urban,urban,-6.911376698,39.25119
1612-001,DAR ES SALAAM,3,102,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KILUNGULE,7,70310201007,1,,,urban,urban,-6.911376698,39.25119
5608-001,DAR ES SALAAM,3,102,5,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,NZASA B,32,70310205032,2,M2,3,urban,urban,-6.933613491,39.26529307
5603-001,DAR ES SALAAM,3,102,5,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,NZASA B,32,70310205032,1,,,urban,urban,-6.933613491,39.26529307
5605-001,DAR ES SALAAM,3,102,5,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,NZASA B,32,70310205032,1,,,urban,urban,-6.933613491,39.26529307
5608-001,DAR ES SALAAM,3,102,5,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,NZASA B,32,70310205032,1,M1,3,urban,urban,-6.933613491,39.26529307
5602-001,DAR ES SALAAM,3,102,5,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,NZASA B,32,70310205032,1,,,urban,urban,-6.933613491,39.26529307
5598-001,DAR ES SALAAM,3,102,5,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,NZASA B,32,70310205032,1,,,urban,urban,-6.933613491,39.26529307
5604-001,DAR ES SALAAM,3,102,5,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,NZASA B,32,70310205032,1,,,urban,urban,-6.933613491,39.26529307
5601-001,DAR ES SALAAM,3,102,5,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,NZASA B,32,70310205032,1,,,urban,urban,-6.933613491,39.26529307
5606-001,DAR ES SALAAM,3,102,5,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,NZASA B,32,70310205032,1,,,urban,urban,-6.933613491,39.26529307
1632-001,DAR ES SALAAM,3,112,11,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KONGOWE,1,70311211001,1,,,urban,urban,-6.949100846,39.27884987
1636-001,DAR ES SALAAM,3,112,11,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KONGOWE,1,70311211001,1,M1,1.5,urban,urban,-6.949100846,39.27884987
1628-001,DAR ES SALAAM,3,112,11,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KONGOWE,1,70311211001,1,,,urban,urban,-6.949100846,39.27884987
1636-001,DAR ES SALAAM,3,112,11,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KONGOWE,1,70311211001,2,M2,0.5,urban,urban,-6.949100846,39.27884987
1638-001,DAR ES SALAAM,3,112,11,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KONGOWE,1,70311211001,1,,,urban,urban,-6.949100846,39.27884987
1629-001,DAR ES SALAAM,3,112,11,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KONGOWE,1,70311211001,1,,,urban,urban,-6.949100846,39.27884987
1635-001,DAR ES SALAAM,3,112,11,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KONGOWE,1,70311211001,1,M1,0.059999999,urban,urban,-6.949100846,39.27884987
1627-001,DAR ES SALAAM,3,112,11,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KONGOWE,1,70311211001,1,,,urban,urban,-6.949100846,39.27884987
1633-001,DAR ES SALAAM,3,112,11,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,KONGOWE,1,70311211001,1,,,urban,urban,-6.949100846,39.27884987
5620-001,DAR ES SALAAM,3,132,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,MAGANGA,7,70313201007,1,,,urban,urban,-6.846917818,39.27066539
5617-001,DAR ES SALAAM,3,132,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,MAGANGA,7,70313201007,1,,,urban,urban,-6.846917818,39.27066539
5619-001,DAR ES SALAAM,3,132,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,MAGANGA,7,70313201007,1,,,urban,urban,-6.846917818,39.27066539
5628-001,DAR ES SALAAM,3,132,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,MAGANGA,7,70313201007,1,M1,0.100000001,urban,urban,-6.846917818,39.27066539
5618-001,DAR ES SALAAM,3,132,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,MAGANGA,7,70313201007,1,,,urban,urban,-6.846917818,39.27066539
5623-001,DAR ES SALAAM,3,132,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,MAGANGA,7,70313201007,1,,,urban,urban,-6.846917818,39.27066539
5627-001,DAR ES SALAAM,3,132,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,MAGANGA,7,70313201007,1,,,urban,urban,-6.846917818,39.27066539
5621-001,DAR ES SALAAM,3,132,1,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,MAGANGA,7,70313201007,1,,,urban,urban,-6.846917818,39.27066539
1652-001,DAR ES SALAAM,3,142,2,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,SABASABA,112,70314202112,1,,,urban,urban,-6.874451213,39.27469215
1651-001,DAR ES SALAAM,3,142,2,DAR ES SALAAM,TEMEKE,**CONFIDENTIAL**,SABASABA,112,70314202112,1,,,urban,urban,-6.874451213,39.27469215
