y4_hhid,region,district,ward,village,region_name,district_name,ward_name,village_name,ea,clusterid,occ,plotnum,plot_area,wardtype,clustertype,lat_modified,lon_modified
1804-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,1,M1,2.069999933,rural,rural,-6.291397455,36.68087976
1798-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,3,M3,2.99000001,rural,rural,-6.291397455,36.68087976
1805-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,1,M1,1.889999986,rural,rural,-6.291397455,36.68087976
1801-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,2,M2,3.410000086,rural,rural,-6.291397455,36.68087976
1800-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,1,M1,3.059999943,rural,rural,-6.291397455,36.68087976
1803-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,4,M4,2.130000114,rural,rural,-6.291397455,36.68087976
1803-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,2,M2,2.130000114,rural,rural,-6.291397455,36.68087976
1801-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,4,M4,0.810000002,rural,rural,-6.291397455,36.68087976
1798-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,1,M1,0.379999995,rural,rural,-6.291397455,36.68087976
1799-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,1,M1,1.309999943,rural,rural,-6.291397455,36.68087976
1799-001,dodoma,3,101,4,DODOMA,KONGWA,**CONFIDENTIAL**,SUGUTA,2,10310104002,2,M2,2.960000038,rural,rural,-6.291397455,36.68087976
5792-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,1,M1,2.24000001,rural,rural,-6.158228051,36.20868104
5795-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,4,M4,0.449999988,rural,rural,-6.158228051,36.20868104
5794-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,2,M2,1.889999986,rural,rural,-6.158228051,36.20868104
5793-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,1,M1,4.429999828,rural,rural,-6.158228051,36.20868104
5788-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,1,M1,1.090000033,rural,rural,-6.158228051,36.20868104
5794-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,1,M1,2.190000057,rural,rural,-6.158228051,36.20868104
5791-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,3,M3,1,rural,rural,-6.158228051,36.20868104
5789-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,1,M1,0.689999998,rural,rural,-6.158228051,36.20868104
5795-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,2,M2,1.340000033,rural,rural,-6.158228051,36.20868104
5795-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,3,M3,1.100000024,rural,rural,-6.158228051,36.20868104
5790-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,1,M1,5.300000191,rural,rural,-6.158228051,36.20868104
5791-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,2,M2,1,rural,rural,-6.158228051,36.20868104
5788-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,2,M2,2.230000019,rural,rural,-6.158228051,36.20868104
5795-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,1,M1,1.049999952,rural,rural,-6.158228051,36.20868104
5795-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,5,M5,0.75,rural,rural,-6.158228051,36.20868104
5789-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,2,M2,1.269999981,rural,rural,-6.158228051,36.20868104
5791-001,dodoma,4,101,2,DODOMA,CHAMWINO,**CONFIDENTIAL**,CHALINZE,2,10410102002,1,M1,0.349999994,rural,rural,-6.158228051,36.20868104
1817-001,dodoma,5,42,5,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,OSTERBAY,5,10504205005,1,,,urban,urban,-6.159419682,35.73678504
1819-001,dodoma,5,42,5,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,OSTERBAY,5,10504205005,2,M2,2,urban,urban,-6.159419682,35.73678504
1819-001,dodoma,5,42,5,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,OSTERBAY,5,10504205005,1,M1,5,urban,urban,-6.159419682,35.73678504
1821-001,dodoma,5,42,5,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,OSTERBAY,5,10504205005,1,,,urban,urban,-6.159419682,35.73678504
1820-001,dodoma,5,42,5,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,OSTERBAY,5,10504205005,1,,,urban,urban,-6.159419682,35.73678504
1822-001,dodoma,5,42,5,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,OSTERBAY,5,10504205005,1,,,urban,urban,-6.159419682,35.73678504
1824-001,dodoma,5,42,5,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,OSTERBAY,5,10504205005,1,,,urban,urban,-6.159419682,35.73678504
1823-001,dodoma,5,42,5,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,OSTERBAY,5,10504205005,1,,,urban,urban,-6.159419682,35.73678504
1818-001,dodoma,5,42,5,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,OSTERBAY,5,10504205005,1,,,urban,urban,-6.159419682,35.73678504
1838-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,1,M1,1.200000048,rural,rural,-5.843552688,35.96312767
1843-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,1,M1,1.320000052,rural,rural,-5.843552688,35.96312767
1838-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,2,M2,3.200000048,rural,rural,-5.843552688,35.96312767
1842-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,1,M1,5.130000114,rural,rural,-5.843552688,35.96312767
1839-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,2,M2,0.100000001,rural,rural,-5.843552688,35.96312767
1840-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,2,M2,2.630000114,rural,rural,-5.843552688,35.96312767
1840-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,1,M1,0.239999995,rural,rural,-5.843552688,35.96312767
1837-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,3,M3,2.089999914,rural,rural,-5.843552688,35.96312767
1836-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,1,M1,1.039999962,rural,rural,-5.843552688,35.96312767
1837-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,1,M1,1.340000033,rural,rural,-5.843552688,35.96312767
1837-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,2,M2,5.96999979,rural,rural,-5.843552688,35.96312767
1843-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,3,M3,0.920000017,rural,rural,-5.843552688,35.96312767
1840-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,3,M3,6,rural,rural,-5.843552688,35.96312767
1839-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,1,M1,1.74000001,rural,rural,-5.843552688,35.96312767
1843-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,2,M2,3.769999981,rural,rural,-5.843552688,35.96312767
1841-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,1,M1,0.409999996,rural,rural,-5.843552688,35.96312767
1842-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,2,M2,1.5,rural,rural,-5.843552688,35.96312767
1841-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,2,M2,2.359999895,rural,rural,-5.843552688,35.96312767
1841-001,dodoma,5,101,1,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,HOMBOLO MAKULU,2,10510101002,3,M3,3.950000048,rural,rural,-5.843552688,35.96312767
5807-001,dodoma,5,362,3,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,MBWANGA,2,10536203002,1,,,urban,urban,-6.125767193,35.7343025
5814-001,dodoma,5,362,3,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,MBWANGA,2,10536203002,1,,,urban,urban,-6.125767193,35.7343025
5808-001,dodoma,5,362,3,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,MBWANGA,2,10536203002,1,,,urban,urban,-6.125767193,35.7343025
5812-001,dodoma,5,362,3,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,MBWANGA,2,10536203002,1,,,urban,urban,-6.125767193,35.7343025
5809-001,dodoma,5,362,3,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,MBWANGA,2,10536203002,1,M1,0.159999996,urban,urban,-6.125767193,35.7343025
5810-001,dodoma,5,362,3,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,MBWANGA,2,10536203002,1,,,urban,urban,-6.125767193,35.7343025
5813-001,dodoma,5,362,3,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,MBWANGA,2,10536203002,1,M1,2.5,urban,urban,-6.125767193,35.7343025
5811-001,dodoma,5,362,3,DODOMA,DODOMA MJINI,**CONFIDENTIAL**,MBWANGA,2,10536203002,1,,,urban,urban,-6.125767193,35.7343025
5829-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,3,M3,1,rural,rural,-5.956740337,35.25382641
5831-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,1,,,rural,rural,-5.956740337,35.25382641
5827-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,2,M2,4.539999962,rural,rural,-5.956740337,35.25382641
5830-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,5,M5,0.389999986,rural,rural,-5.956740337,35.25382641
5829-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,1,M1,2.269999981,rural,rural,-5.956740337,35.25382641
5827-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,1,M1,3.619999886,rural,rural,-5.956740337,35.25382641
5828-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,2,M2,1.070000052,rural,rural,-5.956740337,35.25382641
5830-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,1,M1,2.400000095,rural,rural,-5.956740337,35.25382641
5826-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,2,M2,0.879999995,rural,rural,-5.956740337,35.25382641
5829-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,2,M2,1,rural,rural,-5.956740337,35.25382641
5828-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,3,M3,1.379999995,rural,rural,-5.956740337,35.25382641
5830-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,6,M6,0.600000024,rural,rural,-5.956740337,35.25382641
5828-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,1,M1,0.699999988,rural,rural,-5.956740337,35.25382641
5832-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,1,M1,10.98999977,rural,rural,-5.956740337,35.25382641
5830-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,7,M7,1,rural,rural,-5.956740337,35.25382641
5832-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,2,M2,0.829999983,rural,rural,-5.956740337,35.25382641
5829-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,5,M5,1.399999976,rural,rural,-5.956740337,35.25382641
5830-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,2,M2,1.75,rural,rural,-5.956740337,35.25382641
5833-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,2,M2,0.180000007,rural,rural,-5.956740337,35.25382641
5826-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,3,M3,3.329999924,rural,rural,-5.956740337,35.25382641
5830-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,4,M4,1.149999976,rural,rural,-5.956740337,35.25382641
5830-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,3,M3,1,rural,rural,-5.956740337,35.25382641
5826-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,1,M1,0.769999981,rural,rural,-5.956740337,35.25382641
5829-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,4,M4,1.299999952,rural,rural,-5.956740337,35.25382641
5833-001,dodoma,6,71,3,DODOMA,BAHI,**CONFIDENTIAL**,NAGULO BAHI,7,10607103007,1,M1,0.230000004,rural,rural,-5.956740337,35.25382641
1857-001,dodoma,7,91,2,DODOMA,CHEMBA,**CONFIDENTIAL**,ITOLWA,17,10709102017,3,M3,16.5,rural,rural,-5.015585229,36.25116734
1855-001,dodoma,7,91,2,DODOMA,CHEMBA,**CONFIDENTIAL**,ITOLWA,17,10709102017,1,M1,2,rural,rural,-5.015585229,36.25116734
1858-001,dodoma,7,91,2,DODOMA,CHEMBA,**CONFIDENTIAL**,ITOLWA,17,10709102017,3,M3,7.53000021,rural,rural,-5.015585229,36.25116734
1861-001,dodoma,7,91,2,DODOMA,CHEMBA,**CONFIDENTIAL**,ITOLWA,17,10709102017,1,M1,4.269999981,rural,rural,-5.015585229,36.25116734
1858-001,dodoma,7,91,2,DODOMA,CHEMBA,**CONFIDENTIAL**,ITOLWA,17,10709102017,1,M1,12.63000011,rural,rural,-5.015585229,36.25116734
1862-001,dodoma,7,91,2,DODOMA,CHEMBA,**CONFIDENTIAL**,ITOLWA,17,10709102017,2,M2,4.690000057,rural,rural,-5.015585229,36.25116734
1862-001,dodoma,7,91,2,DODOMA,CHEMBA,**CONFIDENTIAL**,ITOLWA,17,10709102017,1,M1,3.299999952,rural,rural,-5.015585229,36.25116734
1857-001,dodoma,7,91,2,DODOMA,CHEMBA,**CONFIDENTIAL**,ITOLWA,17,10709102017,1,M1,10,rural,rural,-5.015585229,36.25116734
1857-001,dodoma,7,91,2,DODOMA,CHEMBA,**CONFIDENTIAL**,ITOLWA,17,10709102017,2,M2,9.600000381,rural,rural,-5.015585229,36.25116734
1860-001,dodoma,7,91,2,DODOMA,CHEMBA,**CONFIDENTIAL**,ITOLWA,17,10709102017,1,M1,6.809999943,rural,rural,-5.015585229,36.25116734
1858-001,dodoma,7,91,2,DODOMA,CHEMBA,**CONFIDENTIAL**,ITOLWA,17,10709102017,2,M2,7.400000095,rural,rural,-5.015585229,36.25116734
1856-001,dodoma,7,91,2,DODOMA,CHEMBA,**CONFIDENTIAL**,ITOLWA,17,10709102017,1,M1,14.18000031,rural,rural,-5.015585229,36.25116734
1859-001,dodoma,7,91,2,DODOMA,CHEMBA,**CONFIDENTIAL**,ITOLWA,17,10709102017,1,M1,5.46999979,rural,rural,-5.015585229,36.25116734
1862-001,dodoma,7,91,2,DODOMA,CHEMBA,**CONFIDENTIAL**,ITOLWA,17,10709102017,3,M3,1.899999976,rural,rural,-5.015585229,36.25116734
1860-001,dodoma,7,91,2,DODOMA,CHEMBA,**CONFIDENTIAL**,ITOLWA,17,10709102017,2,M2,2.5,rural,rural,-5.015585229,36.25116734
5015-001,arusha,1,61,2,ARUSHA,MONDULI,**CONFIDENTIAL**,MOITA KILORIT,1,20106102001,1,M1,1.269999981,rural,rural,-3.499669783,36.53162154
5014-001,arusha,1,61,2,ARUSHA,MONDULI,**CONFIDENTIAL**,MOITA KILORIT,1,20106102001,1,M1,1.289999962,rural,rural,-3.499669783,36.53162154
5016-001,arusha,1,61,2,ARUSHA,MONDULI,**CONFIDENTIAL**,MOITA KILORIT,1,20106102001,1,M1,2.74000001,rural,rural,-3.499669783,36.53162154
5013-001,arusha,1,61,2,ARUSHA,MONDULI,**CONFIDENTIAL**,MOITA KILORIT,1,20106102001,1,M1,1.409999967,rural,rural,-3.499669783,36.53162154
5010-001,arusha,1,61,2,ARUSHA,MONDULI,**CONFIDENTIAL**,MOITA KILORIT,1,20106102001,1,,,rural,rural,-3.499669783,36.53162154
5012-001,arusha,1,61,2,ARUSHA,MONDULI,**CONFIDENTIAL**,MOITA KILORIT,1,20106102001,1,M1,1.370000005,rural,rural,-3.499669783,36.53162154
5011-001,arusha,1,61,2,ARUSHA,MONDULI,**CONFIDENTIAL**,MOITA KILORIT,1,20106102001,1,,,rural,rural,-3.499669783,36.53162154
5014-001,arusha,1,61,2,ARUSHA,MONDULI,**CONFIDENTIAL**,MOITA KILORIT,1,20106102001,2,M2,0.779999971,rural,rural,-3.499669783,36.53162154
5009-001,arusha,1,61,2,ARUSHA,MONDULI,**CONFIDENTIAL**,MOITA KILORIT,1,20106102001,1,M1,1.029999971,rural,rural,-3.499669783,36.53162154
1009-001,arusha,2,33,4,ARUSHA,MERU,**CONFIDENTIAL**,KOLILA,4,20203304004,1,M1,1.429999948,mixed,rural,-3.36467672,37.04618025
1001-001,arusha,2,33,4,ARUSHA,MERU,**CONFIDENTIAL**,KOLILA,4,20203304004,1,M1,3.839999914,mixed,rural,-3.36467672,37.04618025
1005-001,arusha,2,33,4,ARUSHA,MERU,**CONFIDENTIAL**,KOLILA,4,20203304004,1,M1,0.850000024,mixed,rural,-3.36467672,37.04618025
1002-001,arusha,2,33,4,ARUSHA,MERU,**CONFIDENTIAL**,KOLILA,4,20203304004,1,M1,3.349999905,mixed,rural,-3.36467672,37.04618025
1006-001,arusha,2,33,4,ARUSHA,MERU,**CONFIDENTIAL**,KOLILA,4,20203304004,1,M1,2.970000029,mixed,rural,-3.36467672,37.04618025
1003-001,arusha,2,33,4,ARUSHA,MERU,**CONFIDENTIAL**,KOLILA,4,20203304004,1,M1,3.210000038,mixed,rural,-3.36467672,37.04618025
1007-001,arusha,2,33,4,ARUSHA,MERU,**CONFIDENTIAL**,KOLILA,4,20203304004,1,M1,3.029999971,mixed,rural,-3.36467672,37.04618025
1000-001,arusha,2,33,4,ARUSHA,MERU,**CONFIDENTIAL**,KOLILA,4,20203304004,1,M1,0.99000001,mixed,rural,-3.36467672,37.04618025
1000-001,arusha,2,33,4,ARUSHA,MERU,**CONFIDENTIAL**,KOLILA,4,20203304004,2,M2,2.160000086,mixed,rural,-3.36467672,37.04618025
1002-001,arusha,2,33,4,ARUSHA,MERU,**CONFIDENTIAL**,KOLILA,4,20203304004,2,M2,4.460000038,mixed,rural,-3.36467672,37.04618025
1005-001,arusha,2,33,4,ARUSHA,MERU,**CONFIDENTIAL**,KOLILA,4,20203304004,2,M2,2.059999943,mixed,rural,-3.36467672,37.04618025
